ENSMUST00000193677	IGHV1-45
ENSMUST00000193988	IGHV1-46
ENSMUST00000194738	IGHA
ENSMUST00000178282	IGHA
ENSMUST00000194865	IGHV1-47
ENSMUST00000103518	IGHV1-47
ENSMUST00000194985	IGHV8-3
ENSMUST00000192298	IGHV8-4
ENSMUST00000178949	IGHV8-4
ENSMUST00000191795	IGHV1-48
ENSMUST00000192724	IGHV1-49
ENSMUST00000103519	IGHV1-49
ENSMUST00000194257	IGHV8-5
ENSMUST00000103521	IGHV1-50
ENSMUST00000223335	IGHE
ENSMUST00000137336	IGHE
ENSMUST00000192903	IGHV1-51
ENSMUST00000192554	IGHV1-52
ENSMUST00000103522	IGHV1-52
ENSMUST00000103523	IGHV1-53
ENSMUST00000103416	IGHG2C
ENSMUST00000195192	IGHG2C
ENSMUST00000192188	IGHG2B
ENSMUST00000103418	IGHG2B
ENSMUST00000194304	IGHG1
ENSMUST00000103420	IGHG1
ENSMUST00000223179	IGHG3
ENSMUST00000103423	IGHG3
ENSMUST00000194162	IGHD
ENSMUST00000192250	IGHD
ENSMUST00000177715	IGHM
ENSMUST00000103426	IGHM
ENSMUST00000103427	IGHJ4
ENSMUST00000103428	IGHJ3
ENSMUST00000103302	IGKV2-137
ENSMUST00000200635	IGKV1-136
ENSMUST00000103303	IGKV1-135
ENSMUST00000192746	IGHJ2
ENSMUST00000103429	IGHJ2
ENSMUST00000103430	IGHJ1
ENSMUST00000199111	IGKV14-134-1
ENSMUST00000168310	IGKV17-134
ENSMUST00000103304	IGKV1-133
ENSMUST00000193324	IGHV5-1
ENSMUST00000170946	IGHV2-1
ENSMUST00000195468	IGHV5-2
ENSMUST00000103442	IGHV5-2
ENSMUST00000103443	IGHV2-2
ENSMUST00000195336	IGHV5-3
ENSMUST00000103444	IGHV5-4
ENSMUST00000193612	IGHV6-1
ENSMUST00000178229	IGHV2-3
ENSMUST00000103305	IGKV1-132
ENSMUST00000193826	IGHV5-5
ENSMUST00000103446	IGHV5-6
ENSMUST00000103306	IGKV1-131
ENSMUST00000196006	IGKV14-130
ENSMUST00000103307	IGKV14-130
